Source_Table,Year,Best Picture,Best Actor,Best Actress,Director,Drama Actor,Musical/Comedy Actor,Drama Actress,Musical/Comedy Actress,Drama,Musical/Comedy
3,1966–1967,,,,"Fred Zinnemann, A Man for All Seasons","Paul Scofield, A Man for All Seasons","Alan Arkin, The Russians Are Coming, the Russians Are Coming","Anouk Aimée, A Man and a Woman","Lynn Redgrave, Georgy Girl",A Man for All Seasons,"The Russians Are Coming, the Russians Are Coming"
3,1967–1968,,,,"Mike Nichols, The Graduate","Rod Steiger, In the Heat of the Night","Richard Harris, Camelot","Edith Evans, The Whisperers","Anne Bancroft, The Graduate",In the Heat of the Night,The Graduate
3,1968–1969,,,,"Paul Newman, Rachel, Rachel","Peter O'Toole, The Lion in Winter","Ron Moody, Oliver!","Joanne Woodward, Rachel, Rachel","Barbra Streisand, Funny Girl",The Lion in Winter,Oliver!
3,1969–1970,,,,"Charles Jarrott, Anne of the Thousand Days","John Wayne, True Grit","Peter O'Toole, Goodbye, Mr. Chips","Geneviève Bujold, Anne of the Thousand Days","Patty Duke, Me, Natalie",Anne of the Thousand Days,The Secret of Santa Vittoria
3,1970–1971,,,,"Arthur Hiller, Love Story","George C. Scott, Patton","Albert Finney, Scrooge","Ali MacGraw, Love Story","Carrie Snodgress, Diary of a Mad Housewife",Love Story,M*A*S*H
3,1971–1972,,,,"William Friedkin, The French Connection","Gene Hackman, The French Connection","Chaim Topol, Fiddler on the Roof","Jane Fonda, Klute","Twiggy, The Boy Friend",The French Connection,Fiddler on the Roof
3,1972–1973,,,,"Francis Ford Coppola, The Godfather","Marlon Brando, The Godfather","Jack Lemmon, Avanti!","Liv Ullmann, The Emigrants","Liza Minnelli, Cabaret",The Godfather,Cabaret
3,1973–1974,,,,"William Friedkin, The Exorcist","Al Pacino, Serpico","George Segal, A Touch of Class","Marsha Mason, Cinderella Liberty","Glenda Jackson, A Touch of Class",The Exorcist,American Graffiti
3,1974–1975,,,,"Roman Polanski, Chinatown","Jack Nicholson, Chinatown","Art Carney, Harry and Tonto","Gena Rowlands, A Woman Under the Influence","Raquel Welch, The Three Musketeers",Chinatown,The Longest Yard
3,1975–1976,,,,"Miloš Forman, One Flew Over the Cuckoo's Nest","Jack Nicholson, One Flew Over the Cuckoo's Nest","George Burns, The Sunshine Boys and Walter Matthau, The Sunshine Boys (TIE)","Louise Fletcher, One Flew Over the Cuckoo's Nest","Ann-Margret, Tommy",One Flew Over the Cuckoo's Nest,The Sunshine Boys
3,1976–1977,,,,"Sidney Lumet, Network","Peter Finch, Network","Kris Kristofferson, A Star Is Born","Faye Dunaway, Network","Barbra Streisand, A Star Is Born",Rocky,A Star Is Born
3,1977–1978,,,,"Herbert Ross, The Turning Point","Richard Burton, Equus","Richard Dreyfuss, The Goodbye Girl","Jane Fonda, Julia","Diane Keaton, Annie Hall and Marsha Mason, The Goodbye Girl (TIE)",The Turning Point,The Goodbye Girl
3,1978–1979,,,,"Michael Cimino, The Deer Hunter","Jon Voight, Coming Home","Warren Beatty, Heaven Can Wait","Jane Fonda, Coming Home","Ellen Burstyn, Same Time, Next Year and Maggie Smith, California Suite (TIE)",Midnight Express,Heaven Can Wait
3,1979–1980,,,,"Francis Ford Coppola, Apocalypse Now","Dustin Hoffman, Kramer vs. Kramer","Peter Sellers, Being There","Sally Field, Norma Rae","Bette Midler, The Rose",Kramer vs. Kramer,Breaking Away
3,1980–1981,,,,"Robert Redford, Ordinary People","Robert De Niro, Raging Bull","Ray Sharkey, The Idolmaker","Mary Tyler Moore, Ordinary People","Sissy Spacek, Coal Miner's Daughter",Ordinary People,Coal Miner's Daughter
3,1981–1982,,,,"Warren Beatty, Reds","Henry Fonda, On Golden Pond","Dudley Moore, Arthur","Meryl Streep, The French Lieutenant's Woman","Bernadette Peters, Pennies from Heaven",On Golden Pond,Arthur
3,1982–1983,,,,"Richard Attenborough, Gandhi","Ben Kingsley, Gandhi","Dustin Hoffman, Tootsie","Meryl Streep, Sophie's Choice","Julie Andrews, Victor Victoria",E.T. the Extra-Terrestrial,Tootsie
3,1983–1984,,,,"Barbra Streisand, Yentl","Tom Courtenay, The Dresser and Robert Duvall, Tender Mercies (TIE)","Michael Caine, Educating Rita","Shirley MacLaine, Terms of Endearment","Julie Walters, Educating Rita",Terms of Endearment,Yentl
3,1984–1985,,,,"Miloš Forman, Amadeus","F. Murray Abraham, Amadeus","Dudley Moore, Micki & Maude","Sally Field, Places in the Heart","Kathleen Turner, Romancing the Stone",Amadeus,Romancing the Stone
3,1985–1986,,,,"John Huston, Prizzi's Honor","Jon Voight, Runaway Train","Jack Nicholson, Prizzi's Honor","Whoopi Goldberg, The Color Purple","Kathleen Turner, Prizzi's Honor",Out of Africa,Prizzi's Honor
3,1986–1987,,,,"Oliver Stone, Platoon","Bob Hoskins, Mona Lisa","Paul Hogan, ""Crocodile"" Dundee","Marlee Matlin, Children of a Lesser God","Sissy Spacek, Crimes of the Heart",Platoon,Hannah and Her Sisters
3,1987–1988,,,,"Bernardo Bertolucci, The Last Emperor","Michael Douglas, Wall Street","Robin Williams, Good Morning, Vietnam","Sally Kirkland, Anna","Cher, Moonstruck",The Last Emperor,Hope and Glory
3,1988–1989,,,,"Clint Eastwood, Bird","Dustin Hoffman, Rain Man","Tom Hanks, Big","Jodie Foster, The Accused, Shirley MacLaine, Madame Sousatzka and Sigourney Weaver, Gorillas in the Mist (TIE)","Melanie Griffith, Working Girl",Rain Man,Working Girl
3,1989–1990,,,,"Oliver Stone, Born on the Fourth of July","Tom Cruise, Born on the Fourth of July","Morgan Freeman, Driving Miss Daisy","Michelle Pfeiffer, The Fabulous Baker Boys","Jessica Tandy, Driving Miss Daisy",Born on the Fourth of July,Driving Miss Daisy
3,1990–1991,,,,"Kevin Costner, Dances with Wolves","Jeremy Irons, Reversal of Fortune","Gérard Depardieu, Green Card","Kathy Bates, Misery","Julia Roberts, Pretty Woman",Dances with Wolves,Green Card
3,1991–1992,,,,"Oliver Stone, JFK","Nick Nolte, The Prince of Tides","Robin Williams, The Fisher King","Jodie Foster, The Silence of the Lambs","Bette Midler, For the Boys",Bugsy,Beauty and the Beast
3,1992–1993,,,,"Clint Eastwood, Unforgiven","Al Pacino, Scent of a Woman","Tim Robbins, The Player","Emma Thompson, Howards End","Miranda Richardson, Enchanted April",Scent of a Woman,The Player
3,1993–1994,,,,"Steven Spielberg, Schindler's List","Tom Hanks, Philadelphia","Robin Williams, Mrs. Doubtfire","Holly Hunter, The Piano","Angela Bassett, What's Love Got to Do with It",Schindler's List,Mrs. Doubtfire
3,1994–1995,,,,"Robert Zemeckis, Forrest Gump","Tom Hanks, Forrest Gump","Hugh Grant, Four Weddings and a Funeral","Jessica Lange, Blue Sky","Jamie Lee Curtis, True Lies",Forrest Gump,The Lion King
3,1995–1996,,,,"Mel Gibson, Braveheart","Nicolas Cage, Leaving Las Vegas","John Travolta, Get Shorty","Sharon Stone, Casino","Nicole Kidman, To Die For",Sense and Sensibility,Babe
3,1996–1997,,,,"Miloš Forman, The People vs. Larry Flynt","Geoffrey Rush, Shine","Tom Cruise, Jerry Maguire","Brenda Blethyn, Secrets & Lies","Madonna, Evita",The English Patient,Evita
3,1997–1998,,,,"James Cameron, Titanic","Peter Fonda, Ulee's Gold","Jack Nicholson, As Good as It Gets","Judi Dench, Mrs Brown","Helen Hunt, As Good as It Gets",Titanic,As Good as It Gets
3,1998–1999,,,,"Steven Spielberg, Saving Private Ryan","Jim Carrey, The Truman Show","Michael Caine, Little Voice","Cate Blanchett, Elizabeth","Gwyneth Paltrow, Shakespeare in Love",Saving Private Ryan,Shakespeare in Love
3,1999–2000,,,,"Sam Mendes, American Beauty","Denzel Washington, The Hurricane","Jim Carrey, Man on the Moon","Hilary Swank, Boys Don't Cry","Janet McTeer, Tumbleweeds",American Beauty,Toy Story 2
3,2000–2001,,,,"Ang Lee, Crouching Tiger, Hidden Dragon","Tom Hanks, Cast Away","George Clooney, O Brother, Where Art Thou?","Julia Roberts, Erin Brockovich","Renée Zellweger, Nurse Betty",Gladiator,Almost Famous
3,2001–2002,,,,"Robert Altman, Gosford Park","Russell Crowe, A Beautiful Mind","Gene Hackman, The Royal Tenenbaums","Sissy Spacek, In the Bedroom","Nicole Kidman, Moulin Rouge!",A Beautiful Mind,Moulin Rouge!
3,2002–2003,,,,"Martin Scorsese, Gangs of New York","Jack Nicholson, About Schmidt","Richard Gere, Chicago","Nicole Kidman, The Hours","Renée Zellweger, Chicago",The Hours,Chicago
3,2003–2004,,,,"Peter Jackson, The Lord of the Rings: The Return of the King","Sean Penn, Mystic River","Bill Murray, Lost in Translation","Charlize Theron, Monster","Diane Keaton, Something's Gotta Give",The Lord of the Rings: The Return of the King,Lost in Translation
3,2004–2005,,,,"Clint Eastwood, Million Dollar Baby","Leonardo DiCaprio, The Aviator","Jamie Foxx, Ray","Hilary Swank, Million Dollar Baby","Annette Bening, Being Julia",The Aviator,Sideways
3,2005–2006,,,,"Ang Lee, Brokeback Mountain","Philip Seymour Hoffman, Capote","Joaquin Phoenix, Walk the Line","Felicity Huffman, Transamerica","Reese Witherspoon, Walk the Line",Brokeback Mountain,Walk the Line
3,2006–2007,,,,"Martin Scorsese, The Departed","Forest Whitaker, The Last King of Scotland","Sacha Baron Cohen, Borat","Helen Mirren, The Queen","Meryl Streep, The Devil Wears Prada",Babel,Dreamgirls
3,2007–2008,,,,"Julian Schnabel, The Diving Bell and the Butterfly","Daniel Day-Lewis, There Will Be Blood","Johnny Depp, Sweeney Todd: The Demon Barber of Fleet Street","Julie Christie, Away from Her","Marion Cotillard, La Vie en Rose",Atonement,Sweeney Todd: The Demon Barber of Fleet Street
3,2008–2009,,,,"Danny Boyle, Slumdog Millionaire","Mickey Rourke, The Wrestler","Colin Farrell, In Bruges","Kate Winslet, Revolutionary Road","Sally Hawkins, Happy-Go-Lucky",Slumdog Millionaire,Vicky Cristina Barcelona
3,2009–2010,,,,"James Cameron, Avatar","Jeff Bridges, Crazy Heart","Robert Downey Jr., Sherlock Holmes","Sandra Bullock, The Blind Side","Meryl Streep, Julie & Julia",Avatar,The Hangover
3,2010–2011,,,,"David Fincher, The Social Network","Colin Firth, The King's Speech","Paul Giamatti, Barney's Version","Natalie Portman, Black Swan","Annette Bening, The Kids Are All Right",The Social Network,The Kids Are All Right
3,2011–2012,,,,"Martin Scorsese, Hugo","George Clooney, The Descendants","Jean Dujardin, The Artist","Meryl Streep, The Iron Lady","Michelle Williams, My Week with Marilyn",The Descendants,The Artist
